xflr5 v6.39

Plane name :        Wing 1
Polar name :        T2-LLT-proj_area

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000   0.095019   0.000647   0.008788   0.009435   0.000000  -0.000000  -0.087117   0.000000   0.000000   35.7794     0.4384
   -2.500     0.000   0.132083   0.001257   0.009086   0.010343   0.000000  -0.000000  -0.080834   0.000000   0.000000   30.3471     0.3279
   -2.000     0.000   0.168900   0.002062   0.009263   0.011325   0.000000  -0.000000  -0.074526   0.000000   0.000000   26.8365     0.2757
   -1.500     0.000   0.205397   0.003056   0.009436   0.012492   0.000000  -0.000000  -0.068148   0.000000   0.000000   24.3358     0.2347
   -1.000     0.000   0.241735   0.004240   0.009548   0.013788   0.000000  -0.000000  -0.061750   0.000000   0.000000   22.4322     0.2109
   -0.500     0.000   0.277965   0.005613   0.009639   0.015251   0.000000  -0.000000  -0.055346   0.000000   0.000000   20.9193     0.1910
    0.000     0.000   0.313725   0.007160   0.009697   0.016857   0.000000  -0.000000  -0.048916   0.000000   0.000000   19.6910     0.1770
    0.500     0.000   0.348543   0.008848   0.009590   0.018438   0.000000  -0.000000  -0.042435   0.000000   0.000000   18.6816     0.1669
    1.000     0.000   0.382695   0.010683   0.009475   0.020158   0.000000  -0.000000  -0.035762   0.000000   0.000000   17.8285     0.1573
    1.500     0.000   0.415541   0.012616   0.009360   0.021976   0.000000  -0.000000  -0.028670   0.000000   0.000000   17.1094     0.1495
    2.000     0.000   0.449993   0.014802   0.009355   0.024157   0.000000  -0.000000  -0.021452   0.000000   0.000000   16.4414     0.1427
    2.500     0.000   0.493754   0.017729   0.009516   0.027245   0.000000  -0.000000  -0.015355   0.000000   0.000000   15.6959     0.1374
    3.000     0.000   0.540381   0.021156   0.009754   0.030910   0.000000  -0.000000  -0.009847   0.000000  -0.000000   15.0034     0.1333
    3.500     0.000   0.581979   0.024541   0.010001   0.034541   0.000000  -0.000000  -0.004098   0.000000   0.000000   14.4574     0.1298
    4.000     0.000   0.619340   0.027840   0.010257   0.038097   0.000000  -0.000000   0.002120   0.000000   0.000000   14.0145     0.1264
    4.500     0.000   0.654992   0.031204   0.010542   0.041747   0.000000  -0.000000   0.008476   0.000000   0.000000   13.6277     0.1234
    5.000     0.000   0.689738   0.034664   0.010843   0.045508   0.000000   0.000000   0.014921   0.000000   0.000000   13.2801     0.1205
    5.500     0.000   0.724251   0.038268   0.011167   0.049435   0.000000  -0.000000   0.021430   0.000000   0.000000   12.9598     0.1179
    6.000     0.000   0.758403   0.041987   0.011493   0.053480   0.000000  -0.000000   0.027977   0.000000   0.000000   12.6646     0.1156
    6.500     0.000   0.793061   0.045946   0.011873   0.057819   0.000000  -0.000000   0.034463  -0.000000  -0.000000   12.3848     0.1134
    7.000     0.000   0.827351   0.050032   0.012220   0.062252   0.000000  -0.000000   0.041004   0.000000   0.000000   12.1254     0.1114
    7.500     0.000   0.861748   0.054304   0.012583   0.066886   0.000000  -0.000000   0.047499   0.000000   0.000000   11.8810     0.1096
    8.000     0.000   0.895879   0.058705   0.012976   0.071681   0.000000  -0.000000   0.054010   0.000000   0.000000   11.6525     0.1078
    8.500     0.000   0.930027   0.063282   0.013387   0.076669   0.000000  -0.000000   0.060491   0.000000   0.000000   11.4365     0.1062
    9.000     0.000   0.963947   0.068008   0.013794   0.081801   0.000000  -0.000000   0.066966   0.000000   0.000000   11.2335     0.1047
    9.500     0.000   0.997960   0.072920   0.014246   0.087166   0.000000  -0.000000   0.073387   0.000000   0.000000   11.0404     0.1033
   10.000     0.000   1.031364   0.077920   0.014668   0.092588   0.000000  -0.000000   0.079851   0.000000   0.000000   10.8602     0.1019
   10.500     0.000   1.064317   0.083036   0.015105   0.098141   0.000000   0.000000   0.086309   0.000000   0.000000   10.6907     0.1006
   11.000     0.000   1.097134   0.088302   0.015569   0.103871   0.000000  -0.000000   0.092748   0.000000  -0.000000   10.5296     0.0994
   11.500     0.000   1.128633   0.093514   0.015988   0.109501   0.000000  -0.000000   0.099302   0.000000   0.000000   10.3816     0.0982
   12.000     0.000   1.159097   0.098728   0.016432   0.115161   0.000000  -0.000000   0.105895  -0.000000  -0.000000   10.2443     0.0969
   12.500     0.000   1.188881   0.103960   0.016909   0.120869   0.000000  -0.000000   0.112541   0.000000   0.000000   10.1152     0.0957
   13.000     0.000   1.216422   0.108989   0.017385   0.126374   0.000000  -0.000000   0.119299   0.000000   0.000000   10.0000     0.0945
   13.500     0.000   1.241756   0.113834   0.017923   0.131757   0.000000  -0.000000   0.126091   0.000000   0.000000    9.8975     0.0932
   14.000     0.000   1.264887   0.118405   0.018564   0.136969   0.000000  -0.000000   0.132888   0.000000   0.000000    9.8065     0.0919
   14.500     0.000   1.285687   0.122723   0.019353   0.142076   0.000000  -0.000000   0.139539   0.000000   0.000000    9.7269     0.0906
   15.000     0.000   1.303884   0.126679   0.020385   0.147064   0.000000  -0.000000   0.145969   0.000000   0.000000    9.6588     0.0893


