G-Load: 5.154008 --> Turn Rate: 177.630000 | Velocity: 35.792000
G-Load: 5.144008 --> Turn Rate: 171.900000 | Velocity: 36.910500
G-Load: 5.309096 --> Turn Rate: 177.630000 | Velocity: 36.910500
G-Load: 5.124011 --> Turn Rate: 166.170000 | Velocity: 38.029000
G-Load: 5.294080 --> Turn Rate: 171.900000 | Velocity: 38.029000
G-Load: 5.464351 --> Turn Rate: 177.630000 | Velocity: 38.029000
G-Load: 5.094022 --> Turn Rate: 160.440000 | Velocity: 39.147500
G-Load: 5.269056 --> Turn Rate: 166.170000 | Velocity: 39.147500
G-Load: 5.444309 --> Turn Rate: 171.900000 | Velocity: 39.147500
G-Load: 5.619759 --> Turn Rate: 177.630000 | Velocity: 39.147500
G-Load: 5.054047 --> Turn Rate: 154.710000 | Velocity: 40.266000
G-Load: 5.234031 --> Turn Rate: 160.440000 | Velocity: 40.266000
G-Load: 5.414251 --> Turn Rate: 166.170000 | Velocity: 40.266000
G-Load: 5.594683 --> Turn Rate: 171.900000 | Velocity: 40.266000
G-Load: 5.775308 --> Turn Rate: 177.630000 | Velocity: 40.266000
G-Load: 5.004096 --> Turn Rate: 148.980000 | Velocity: 41.384500
G-Load: 5.189012 --> Turn Rate: 154.710000 | Velocity: 41.384500
G-Load: 5.374183 --> Turn Rate: 160.440000 | Velocity: 41.384500
G-Load: 5.559583 --> Turn Rate: 166.170000 | Velocity: 41.384500
G-Load: 5.745191 --> Turn Rate: 171.900000 | Velocity: 41.384500
G-Load: 5.930986 --> Turn Rate: 177.630000 | Velocity: 41.384500
G-Load: 5.134009 --> Turn Rate: 148.980000 | Velocity: 42.503000
G-Load: 5.324113 --> Turn Rate: 154.710000 | Velocity: 42.503000
G-Load: 5.514466 --> Turn Rate: 160.440000 | Velocity: 42.503000
G-Load: 5.705043 --> Turn Rate: 166.170000 | Velocity: 42.503000
G-Load: 5.895822 --> Turn Rate: 171.900000 | Velocity: 42.503000
G-Load: 5.069036 --> Turn Rate: 143.250000 | Velocity: 43.621500
G-Load: 5.264052 --> Turn Rate: 148.980000 | Velocity: 43.621500
G-Load: 5.459340 --> Turn Rate: 154.710000 | Velocity: 43.621500
G-Load: 5.654871 --> Turn Rate: 160.440000 | Velocity: 43.621500
G-Load: 5.850620 --> Turn Rate: 166.170000 | Velocity: 43.621500
G-Load: 5.194014 --> Turn Rate: 143.250000 | Velocity: 44.740000
G-Load: 5.394216 --> Turn Rate: 148.980000 | Velocity: 44.740000
G-Load: 5.594683 --> Turn Rate: 154.710000 | Velocity: 44.740000
G-Load: 5.795388 --> Turn Rate: 160.440000 | Velocity: 44.740000
G-Load: 5.996307 --> Turn Rate: 166.170000 | Velocity: 44.740000
G-Load: 5.114014 --> Turn Rate: 137.520000 | Velocity: 45.858500
G-Load: 5.319107 --> Turn Rate: 143.250000 | Velocity: 45.858500
G-Load: 5.524491 --> Turn Rate: 148.980000 | Velocity: 45.858500
G-Load: 5.730135 --> Turn Rate: 154.710000 | Velocity: 45.858500
G-Load: 5.936010 --> Turn Rate: 160.440000 | Velocity: 45.858500
G-Load: 5.024074 --> Turn Rate: 131.790000 | Velocity: 46.977000
G-Load: 5.234031 --> Turn Rate: 137.520000 | Velocity: 46.977000
G-Load: 5.444309 --> Turn Rate: 143.250000 | Velocity: 46.977000
G-Load: 5.654871 --> Turn Rate: 148.980000 | Velocity: 46.977000
G-Load: 5.865687 --> Turn Rate: 154.710000 | Velocity: 46.977000
G-Load: 5.139009 --> Turn Rate: 131.790000 | Velocity: 48.095500
G-Load: 5.354153 --> Turn Rate: 137.520000 | Velocity: 48.095500
G-Load: 5.569611 --> Turn Rate: 143.250000 | Velocity: 48.095500
G-Load: 5.785348 --> Turn Rate: 148.980000 | Velocity: 48.095500
G-Load: 5.034064 --> Turn Rate: 126.060000 | Velocity: 49.214000
G-Load: 5.254045 --> Turn Rate: 131.790000 | Velocity: 49.214000
G-Load: 5.474373 --> Turn Rate: 137.520000 | Velocity: 49.214000
G-Load: 5.695008 --> Turn Rate: 143.250000 | Velocity: 49.214000
G-Load: 5.915915 --> Turn Rate: 148.980000 | Velocity: 49.214000
G-Load: 5.144008 --> Turn Rate: 126.060000 | Velocity: 50.332500
G-Load: 5.369175 --> Turn Rate: 131.790000 | Velocity: 50.332500
G-Load: 5.594683 --> Turn Rate: 137.520000 | Velocity: 50.332500
